start-time,duration,end-time
141.945,0.28000000000000003,142.225
143.57,0.20999999999999999,143.78
145.04,0.20999999999999999,145.25
146.59,0.14000000000000001,146.73
148.08,0.14000000000000001,148.22
233.88,2.605,236.485
319.405,1.28,320.685
408.59,4.0350000000000001,412.625
436.935,1.0649999999999999,438.0
498.565,0.64500000000000002,499.21
583.875,1.5449999999999999,585.42
670.56,0.070000000000000007,670.63
673.725,0.92500000000000004,674.65
693.135,0.63500000000000001,693.77
702.31,0.215,702.525
760.265,1.1299999999999999,761.395
848.605,1.48,850.085
934.675,0.20999999999999999,934.885
938.845,0.28499999999999998,939.13
1020.915,1.835,1022.75
1029.245,1.6299999999999999,1030.875
1104.37,9.2149999999999999,1113.585
1117.775,2.1400000000000001,1119.915
